code,date,close
1,2004/1/2,1517.193
1,2004/1/5,1568.353
1,2004/1/6,1574.523
1,2004/1/7,1587.204
1,2004/1/8,1610.126
1,2004/1/9,1581.466
1,2004/1/12,1618.518
1,2004/1/13,1612.683
1,2004/1/14,1592.423
1,2004/1/15,1586.493
1,2004/1/16,1600.425
1,2004/1/29,1628.837
1,2004/1/30,1590.729
1,2004/2/2,1623.88
1,2004/2/3,1649.282
1,2004/2/4,1685.159
1,2004/2/5,1693.428
1,2004/2/6,1679.193
1,2004/2/9,1703.529
1,2004/2/10,1691.009
1,2004/2/11,1677.759
1,2004/2/12,1663.832
1,2004/2/13,1658.539
1,2004/2/16,1696.827
1,2004/2/17,1703.774
1,2004/2/18,1717.096
1,2004/2/19,1717.015
1,2004/2/20,1721.752
1,2004/2/23,1681.654
1,2004/2/24,1682.297
1,2004/2/25,1647.381
1,2004/2/26,1654.898
1,2004/2/27,1675.067
1,2004/3/1,1689.76
1,2004/3/2,1687.278
1,2004/3/3,1661.812
1,2004/3/4,1668.874
1,2004/3/5,1662.096
1,2004/3/8,1637.144
1,2004/3/9,1637.099
1,2004/3/10,1678.073
1,2004/3/11,1691.643
1,2004/3/12,1694.743
1,2004/3/15,1736.22
1,2004/3/16,1745.543
1,2004/3/17,1745.098
1,2004/3/18,1717.26
1,2004/3/19,1747.872
1,2004/3/22,1755.685
1,2004/3/23,1741.695
1,2004/3/24,1740.054
1,2004/3/25,1736.477
1,2004/3/26,1734.047
1,2004/3/29,1719.674
1,2004/3/30,1724.277
1,2004/3/31,1741.623
1,2004/4/1,1758.147
1,2004/4/2,1768.645
1,2004/4/5,1766.483
1,2004/4/6,1777.516
1,2004/4/7,1774.552
1,2004/4/8,1770.279
1,2004/4/9,1727.348
1,2004/4/12,1722.986
1,2004/4/13,1715.136
1,2004/4/14,1697.156
1,2004/4/15,1679.076
1,2004/4/16,1693.861
1,2004/4/19,1675.885
1,2004/4/20,1669.422
1,2004/4/21,1651.577
1,2004/4/22,1657.785
1,2004/4/23,1635.501
1,2004/4/26,1635.499
1,2004/4/27,1611.86
1,2004/4/28,1606.801
1,2004/4/29,1579.447
1,2004/4/30,1595.587
1,2004/5/10,1560.215
1,2004/5/11,1568.059
1,2004/5/12,1603.768
1,2004/5/13,1597.57
1,2004/5/14,1562.688
1,2004/5/17,1539.959
1,2004/5/18,1555.442
1,2004/5/19,1558.287
1,2004/5/20,1549.061
1,2004/5/21,1558.33
1,2004/5/24,1550.348
1,2004/5/25,1518.045
1,2004/5/26,1524.436
1,2004/5/27,1557.178
1,2004/5/28,1548.722
1,2004/5/31,1555.906
1,2004/6/1,1579.658
1,2004/6/2,1567.067
1,2004/6/3,1543.527
1,2004/6/4,1542.086
1,2004/6/7,1517.145
1,2004/6/8,1493.814
1,2004/6/9,1468.071
1,2004/6/10,1468.344
1,2004/6/11,1472.072
1,2004/6/14,1438.736
1,2004/6/15,1463.777
1,2004/6/16,1475.416
1,2004/6/17,1445.501
1,2004/6/18,1427.301
1,2004/6/21,1433.467
1,2004/6/22,1450.683
1,2004/6/23,1440.729
1,2004/6/24,1427.754
1,2004/6/25,1401.113
1,2004/6/28,1385.181
1,2004/6/29,1408.689
1,2004/6/30,1399.162
1,2004/7/1,1441.068
1,2004/7/2,1441.19
1,2004/7/5,1444.59
1,2004/7/6,1450.501
1,2004/7/7,1438.398
1,2004/7/8,1439.783
1,2004/7/9,1430.654
1,2004/7/12,1397.148
1,2004/7/13,1399.461
1,2004/7/14,1403.755
1,2004/7/15,1421.544
1,2004/7/16,1456.13
1,2004/7/19,1457.537
1,2004/7/20,1447.941
1,2004/7/21,1448.037
1,2004/7/22,1407.438
1,2004/7/23,1407.396
1,2004/7/26,1387.67
1,2004/7/27,1384.128
1,2004/7/28,1388.81
1,2004/7/29,1407.331
1,2004/7/30,1386.202
1,2004/8/2,1373.217
1,2004/8/3,1366.258
1,2004/8/4,1404.505
1,2004/8/5,1389.039
1,2004/8/6,1390.461
1,2004/8/9,1395.848
1,2004/8/10,1400.769
1,2004/8/11,1384.964
1,2004/8/12,1368.196
1,2004/8/13,1368.45
1,2004/8/16,1354.511
1,2004/8/17,1360.2
1,2004/8/18,1358.216
1,2004/8/19,1339.05
1,2004/8/20,1341.738
1,2004/8/23,1325.413
1,2004/8/24,1344.626
1,2004/8/25,1339.784
1,2004/8/26,1334.422
1,2004/8/27,1320.614
1,2004/8/30,1319.407
1,2004/8/31,1342.062
1,2004/9/1,1321.462
1,2004/9/2,1327.927
1,2004/9/3,1327.116
1,2004/9/6,1321.465
1,2004/9/7,1324.294
1,2004/9/8,1309.333
1,2004/9/9,1284.307
1,2004/9/10,1287.081
1,2004/9/13,1260.316
1,2004/9/14,1300.357
1,2004/9/15,1355.226
1,2004/9/16,1371.201
1,2004/9/17,1414.702
1,2004/9/20,1463.221
1,2004/9/21,1448.562
1,2004/9/22,1420.148
1,2004/9/23,1464.779
1,2004/9/24,1435.563
1,2004/9/27,1427.398
1,2004/9/28,1435.589
1,2004/9/29,1420.009
1,2004/9/30,1396.7
1,2004/10/8,1422.929
1,2004/10/11,1413.154
1,2004/10/12,1384.439
1,2004/10/13,1386.721
1,2004/10/14,1332.938
1,2004/10/15,1330.518
1,2004/10/18,1335.394
1,2004/10/19,1337.618
1,2004/10/20,1330.584
1,2004/10/21,1310.545
1,2004/10/22,1329.355
1,2004/10/25,1311.151
1,2004/10/26,1324.783
1,2004/10/27,1342.799
1,2004/10/28,1341.737
1,2004/10/29,1320.536
1,2004/11/1,1305.291
1,2004/11/2,1301.528
1,2004/11/3,1326.749
1,2004/11/4,1304.776
1,2004/11/5,1305.128
1,2004/11/8,1304.229
1,2004/11/9,1307.429
1,2004/11/10,1354.386
1,2004/11/11,1347.07
1,2004/11/12,1352.217
1,2004/11/15,1370.046
1,2004/11/16,1370.389
1,2004/11/17,1356.138
1,2004/11/18,1367.828
1,2004/11/19,1379.96
1,2004/11/22,1383.02
1,2004/11/23,1371.244
1,2004/11/24,1359.125
1,2004/11/25,1358.333
1,2004/11/26,1356.727
1,2004/11/29,1337.434
1,2004/11/30,1340.771
1,2004/12/1,1334.944
1,2004/12/2,1333.09
1,2004/12/3,1337.197
1,2004/12/6,1339.644
1,2004/12/7,1323.752
1,2004/12/8,1326.438
1,2004/12/9,1338.81
1,2004/12/10,1317.717
1,2004/12/13,1309.695
1,2004/12/14,1307.553
1,2004/12/15,1313.045
1,2004/12/16,1305.018
1,2004/12/17,1290.49
1,2004/12/20,1275.459
1,2004/12/21,1275.17
1,2004/12/22,1307.57
1,2004/12/23,1282.719
1,2004/12/24,1285.036
1,2004/12/27,1280.272
1,2004/12/28,1278.943
1,2004/12/29,1274.313
1,2004/12/30,1273.709
1,2004/12/31,1266.496
1,2005/1/4,1242.774
1,2005/1/5,1251.937
1,2005/1/6,1239.43
1,2005/1/7,1244.746
1,2005/1/10,1252.401
1,2005/1/11,1257.462
1,2005/1/12,1256.923
1,2005/1/13,1256.314
1,2005/1/14,1245.62
1,2005/1/17,1216.652
1,2005/1/18,1225.454
1,2005/1/19,1218.108
1,2005/1/20,1204.394
1,2005/1/21,1234.476
1,2005/1/24,1255.777
1,2005/1/25,1254.234
1,2005/1/26,1241.958
1,2005/1/27,1225.891
1,2005/1/28,1213.673
1,2005/1/31,1191.823
1,2005/2/1,1188.93
1,2005/2/2,1252.5
1,2005/2/3,1242.307
1,2005/2/4,1269.004
1,2005/2/16,1278.88
1,2005/2/17,1276.134
1,2005/2/18,1258.969
1,2005/2/21,1284.48
1,2005/2/22,1309.277
1,2005/2/23,1309.475
1,2005/2/24,1309.949
1,2005/2/25,1312.445
1,2005/2/28,1306.003
1,2005/3/1,1303.412
1,2005/3/2,1287.45
1,2005/3/3,1294.339
1,2005/3/4,1287.714
1,2005/3/7,1293.739
1,2005/3/8,1318.271
1,2005/3/9,1316.791
1,2005/3/10,1286.233
1,2005/3/11,1289.941
